Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Chinavolk,278,2.757,17.228,40.217,70.615,,80.134,80.859,81.018,81.354,82.058,83.005,83.597,83.817,83.912,83.964,84.010
Japan,1,4,20,26,59,,254,488,814,1.046,1.693,3.654,7.255,10.751,13.385,15.057,15.798
Japan,–,–,–,70,454,,706,696,712,712,712,712,712,712,712,712,712
Sdkorea,1,4,15,27,30,,4.212,7.382,8.236,8.897,9.583,10.284,10.537,10.674,10.738,10.801,10.909
Mongolei,–,–,–,–,–,,–,–,1,10,12,14,16,32,38,39,42
ChinaTaiwan,–,4,10,18,20,,40,45,59,153,283,363,388,420,429,436,440
,,,,,,,,,,,,,,,,,
Afghanistan,–,–,–,–,–,,1,4,16,24,114,337,607,996,1.531,2.469,4.664
Bangladesch,–,–,–,–,–,,–,3,5,24,48,88,621,2.456,5.416,9.455,14.657
Bhutan,–,–,–,–,–,,–,1,1,2,3,5,5,5,7,7,9
Indien,–,–,3,3,3,,3,43,114,283,979,4.067,9.152,17.265,27.892,42.533,67.152
Malediven,–,–,–,–,–,,–,4,13,13,16,19,20,51,188,527,835
Nepal,–,1,1,1,1,,1,1,1,1,5,9,12,31,51,75,120
Pakistan,–,–,–,–,–,,4,6,52,495,1.526,3.277,5.374,8.418,13.328,20.084,30.941
SriLanka,–,–,1,1,1,,1,1,19,72,106,176,210,271,523,718,863
,,,,,,,,,,,,,,,,,
Brunei,–,–,–,–,–,,–,1,50,83,120,135,136,138,138,138,141
Indonesien,–,–,–,–,–,,2,6,117,450,1.155,2.273,4.241,6.575,8.882,11.192,14.032
Kambodscha,–,–,1,1,1,,1,2,12,53,102,114,122,122,122,122,122
Laos,–,–,–,–,–,,–,–,–,–,–,–,–,19,19,19,19
Malaysia,–,4,8,18,22,,24,93,553,1.183,2.320,3.662,4.683,5.389,5.780,6.298,6.656
Myanmar,–,–,–,–,–,,–,–,–,–,8,21,41,111,146,155,180
Osttimor,–,–,–,–,–,,–,–,–,1,1,1,5,19,24,24,24
Philippinen,–,–,2,3,3,,3,10,140,307,1.075,3.246,4.648,6.259,7.579,9.223,10.794
Singapur,1,4,18,43,75,,106,150,243,438,802,1.309,2.532,6.588,13.624,18.205,23.336
Thailand,2,5,19,32,35,,42,50,114,411,1.388,2.169,2.579,2.792,2.931,2.987,3.009
Vietnam,2,2,8,14,16,,16,30,57,94,179,241,262,268,270,271,288
,,,,,,,,,,,,,,,,,
Kasachstan,–,–,–,–,–,,–,–,6,56,265,604,979,1.546,2.791,3.988,5.138
Kirgisistan,–,–,–,–,–,,–,–,–,14,84,216,419,568,695,830,1.016
Tadschikistan,–,–,–,–,–,,–,–,–,–,–,–,–,–,–,128,612
Usbekistan,–,–,–,–,–,,–,–,4,33,133,350,896,1.565,1.887,2.160,2.411
,,,,,,,,,,,,,,,,,
Armenien,–,–,–,–,–,,1,1,26,160,424,746,1.039,1.291,1.808,2.507,3.392
