KW,Datum,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,Gesamt,Differenz zum Vortag,Bem.
9,24. Feb. 2020,—,14,—,—,—,—,2,—,—,—,—,—,—,—,—,—,16,.0—,
9,25. Feb. 2020,1,14,—,—,—,—,2,—,—,1,—,—,—,—,—,—,18,.0002,
9,26. Feb. 2020,3,14,—,—,—,—,2,—,—,2,—,—,—,—,—,—,21,.0003,
9,27. Feb. 2020,6,14,—,—,—,—,2,—,—,4,—,—,—,—,—,—,26,.0005,
9,28. Feb. 2020,10,15,—,—,—,—,2,—,—,25,—,—,—,—,1,—,53,.0027,
9,29. Feb. 2020,14,15,—,—,—,—,5,—,—,30,1,—,—,—,1,—,66,.0013,
9,1. März 2020,15,19,—,—,1,1,10,—,1,66,2,—,—,—,2,—,117,.0051,
10,2. März 2020,19,25,1,—,1,1,12,—,1,86,2,—,—,—,2,—,150,.0033,
10,3. März 2020,26,35,3,1,1,2,12,—,1,101,2,—,1,—,2,1,188,.0038,
10,4. März 2020,44,48,6,1,1,2,12,3,4,111,2,1,1,—,2,1,240,.0052,[2]
10,5. März 2020(b),73,70,13,1,3,5,14,4,18,181,8,1,1,—,7,1,400,.0160,[3]
10,6. März 2020,96,117,19,2,4,11,16,5,18,329,10,2,2,—,7,1,639,.0239,[4]
10,7. März 2020,170,134,28,2,4,13,17,5,19,373,13,3,4,—,8,2,795,.0156,[5]
10,8. März 2020,182,172,40,4,4,13,19,8,21,398,19,4,7,—,9,2,902,.0107,[6]
11,9. März 2020,204,256,48,6,4,17,26,10,38,484,17,6,12,—,9,2,1.139,.0237,[7]
11,10. März 2020,237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1.296,.0157,[8]
11,11. März 2020,277,366,90,24,21,48,48,17,75,484,25,14,26,15,27,10,1.567,.0271,[9]
11,12. März 2020,454,500,137,30,38,88,99,23,129,688,52,14,45,27,31,14,2.369,.0802,[10]
11,13. März 2020,454,558,174,44,42,99,148,33,230,936,102,40,83,42,48,29,3.062,.0693,[11]
11,14. März 2020,569,681,216,61,50,158,203,45,253,1.154,121,40,93,45,60,46,3.795,.0733,[12]
11,15. März 2020,827,886,265,84,53,162,286,50,287,1.407,168,32,130,47,103,51,4.838,1.043,[13]
12,16. März 2020,1.105,1.067,300,94,56,260,342,51,391,1.541,325,85,140,77,123,55,6.012,1.174,[14]
12,17. März 2020,1.479,1.109,345,73,57,310,373,45,325,2.105,442,75,182,58,127,51,7.156,1.144,[15]
12,18. März 2020,1.609,1.243,391,92,69,358,432,56,478,2.372,474,88,198,105,159,74,8.198,1.042,[16]
12,19. März 2020,2.155,1.692,573,134,80,432,682,98,669,3.033,637,99,275,140,202,98,10.999,2.801,[17]
12,20. März 2020,2.746,2.401,731,192,121,586,813,131,803,3.497,801,146,394,180,266,149,13.957,2.958,[18]
12,21. März 2020,3.668,2.960,866,254,142,587,1.080,165,1.023,3.542,938,187,567,188,308,187,16.662,2.705,[19]
12,22. März 2020,3.807,3.650,1.024,274,165,872,1.175,172,1.306,3.545,1.053,187,606,211,347,216,18.610,1.948,[20]
13,23. März 2020,3.811,4.892,1.077,288,170,943,1.347,172,1.483,5.615,1.177,200,653,212,383,249,22.672,4.062,[21]
13,24. März 2020,5.348,5.754,1.220,343,183,1.043,1.620,199,1.764,6.318,1.370,337,811,321,478,327,27.436,4.764,[22]
13,25. März 2020,6.069,6.558,1.428,429,200,1.262,1.754,218,2.140,7.197,1.591,403,959,375,577,394,31.554,4.118,[23]
13,26. März 2020,7.283,7.993,1.656,477,211,1.265(f),2.157,244,2.347,7.924,1.816,433,1.141,418,675,468,36.508,4.954,[24]
13,27. März 2020,8.161,9.481,1.955,537,241,1.693,2.323,259,2.810,9.235,1.971,505,1.305,458,812,542,42.288,5.780,[25]
13,28. März 2020,9.781,11.150,2.161,645,260,1.765,2.604,308,3.150,10.607,2.212,550,1.432,458(g),915,584,48.582,6.294,[26]
13,29. März 2020,9.794(h),12.881,2.360,721,275,1.846,2.605(h),348,3.450,11.400,2.396,560(h),1.617,592,1.005,697,52.547,3.965,[27]
14,30. März 2020,10.943,13.989,2.464,761,286,2.053,3.091,356,3.732,12.178,2.584,706,1.795,592(i),1.049,719,57.298,4.751,[28]
14,31. März 2020,12.334,14.810,2.575,798,294,2.191,3.283,366,4.063,13.225,2.726,782,1.882,680,1.120,784,61.913,4.615,[29]
14,1. Apr. 2020,13.410,16.497,2.754,881,311,2.311,3.445,406,4.382,14.351,2.899,829,2.034,750,1.246,860,67.366,5.453,[30]
14,2. Apr. 2020,14.662,18.496,2.970,995,327,2.406,3.707,438,4.695,15.427,3.132,1.020,2.183,804,1.335,925,73.522,6.156,[31]
14,3. Apr. 2020,16.059,20.237,3.202,1.075,341,2.596,3.993,468,5.081,16.606,3.362,1.079,2.336,836,1.443,982,79.696,6.174,[32]
14,4. Apr. 2020,17.014,21.908,3.471,1.211,354,2.697,4.279,501,5.571,17.885,3.504,1.265,2.591,896,1.559,1.072,85.778,6.082,[33]
14,5. Apr. 2020,18.614,23.846,3.613,1.305,394,2.945,4.575,523,5.712,18.735,3.663,1.358,2.741,919,1.631,1.140,91.714,5.936,[34]
15,6. Apr. 2020,19.395,24.974,3.670,1.345,397,2.993,4.674,528,5.960,19.384,3.882,1.483,2.903,956,1.671,1.176,95.391,3.677,[35]
15,7. Apr. 2020,20.141,26.163,3.845,1.384,399,3.059,4.837,531,6.200,20.220,3.992,1.532,2.997,987,1.730,1.208,99.225,3.834,[36]
15,8. Apr. 2020,20.680,27.564,4.028,1.472,424,3.165,4.965,555,6.385,20.929,4.148,1.637,3.144,1.020,1.827,1.285,103.228,4.003,[37]
