KrS,Landkreis/Kreis,UZ,BL,Kreissitz,Einw.,Fl.in km²,Bev.D.Ew./km²,Karte
05334,"Aachen, Städteregion[FN 1]","AC, MON",NW,Aachen,557.026,"706,95",788,
07131,Ahrweiler,AW,RP,Bad Neuenahr-Ahrweiler,130.086,"786,98",165,
09771,Aichach-Friedberg,"AIC, FDB",BY,Aichach,134.655,"780,33",173,
08425,Alb-Donau-Kreis,UL,BW,Ulm[FN 2],197.076,"1.358,68",145,
16077,Altenburger Land,"ABG, SLN",TH,Altenburg,89.393,"569,39",157,
07132,Altenkirchen (Westerwald),AK,RP,Altenkirchen (Westerwald),128.805,"641,99",201,
15081,Altmarkkreis Salzwedel,"SAW, GA, KLZ",ST,Salzwedel,83.173,"2.293,03",36,
09171,Altötting,"AÖ, LF",BY,Altötting,111.516,"569,35",196,
07331,Alzey-Worms,AZ,RP,Alzey,129.687,"588,15",220,
09371,Amberg-Sulzbach,"AS, BUL, ESB, NAB, SUL",BY,Amberg[FN 2],103.049,"1.255,75",82,
03451,Ammerland,WST,NI,Westerstede,124.859,"728,38",171,
15082,Anhalt-Bitterfeld,"ABI, AZE, BTF, KÖT, ZE",ST,Köthen,158.486,"1.453,52",109,
09571,Ansbach,"AN, DKB, FEU, ROT",BY,Ansbach[FN 2],184.591,"1.971,84",94,
09671,Aschaffenburg,"AB, ALZ",BY,Aschaffenburg[FN 2],174.200,"699,15",249,
09772,Augsburg,"A, SMÜ, WER",BY,Augsburg[FN 2],253.468,"1.071,13",237,
03452,Aurich,"AUR, NOR",NI,Aurich,189.694,"1.287,31",147,
07332,Bad Dürkheim,DÜW,RP,Bad Dürkheim,132.671,"594,76",223,
09672,Bad Kissingen,"KG, BRK, HAB",BY,Bad Kissingen,103.235,"1.136,96",91,
07133,Bad Kreuznach,KH,RP,Bad Kreuznach,158.345,"863,76",183,
09173,Bad Tölz-Wolfratshausen,"TÖL, WOR",BY,Bad Tölz,127.917,"1.110,69",115,
09471,Bamberg,BA,BY,Bamberg[FN 2],147.163,"1.167,83",126,
12060,Barnim,"BAR, BER, EW",BB,Eberswalde,185.244,"1.479,67",125,
14625,Bautzen,"BZ, BIW, HY, KM",SN,Bautzen,299.758,"2.395,61",125,
09472,Bayreuth,"BT, EBS, ESB, KEM, MÜB, PEG",BY,Bayreuth[FN 2],103.664,"1.273,74",81,
09172,Berchtesgadener Land,"BGL, BGD, LF, REI",BY,Bad Reichenhall,105.929,"839,92",126,
06431,Bergstraße,HP,HE,Heppenheim,270.340,"719,52",376,
07231,Bernkastel-Wittlich,"WIL, BKS",RP,Wittlich,112.483,"1.167,56",96,
08426,Biberach,BC,BW,Biberach an der Riß,201.282,"1.409,52",143,
07134,Birkenfeld,BIR,RP,Birkenfeld,80.951,"776,58",104,
08115,Böblingen,"BB, LEO",BW,Böblingen,392.807,"617,82",636,
08435,Bodenseekreis,"FN, TT, ÜB",BW,Friedrichshafen,217.470,"664,81",327,
15083,Börde,"BK, BÖ, HDL, OC, OK, WMS, WZL",ST,Haldensleben,170.923,"2.366,63",72,
05554,Borken,"BOR, AH, BOH",NW,Borken,371.339,"1.420,98",261,
08315,Breisgau-Hochschwarzwald,FR,BW,Freiburg im Breisgau[FN 2],262.795,"1.378,34",191,
